"","seqnames","start","end","width","strand","V4","V5","V6","V7","V8","V9","V10","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENTREZID","SYMBOL","GENENAME","flank_txIds","flank_geneIds","flank_gene_distances"
"11","1",11707236,11707393,158,"*","12_9D_Mut_R2_macs2_peak_11",23,".",4.13699,5.60175,2.32456,84,"Intron (ENSMUST00000048613/ENSMUSG00000057715, intron 7 of 13)",74,11704207,11706350,2144,1,"ENSMUSG00000103561","ENSMUST00000195360",3029,NA,NA,NA,"ENSMUST00000048613;ENSMUST00000141512;ENSMUST00000137824;ENSMUST00000179089;ENSMUST00000195360","ENSMUSG00000057715;ENSMUSG00000057715;ENSMUSG00000057715;ENSMUSG00000057715;ENSMUSG00000103561","0;0;0;0;3029"
"12","1",11707804,11707939,136,"*","12_9D_Mut_R2_macs2_peak_12",15,".",3.72329,4.74698,1.55188,48,"Intron (ENSMUST00000048613/ENSMUSG00000057715, intron 7 of 13)",74,11704207,11706350,2144,1,"ENSMUSG00000103561","ENSMUST00000195360",3597,NA,NA,NA,"ENSMUST00000048613;ENSMUST00000141512;ENSMUST00000137824;ENSMUST00000179089;ENSMUST00000195360","ENSMUSG00000057715;ENSMUSG00000057715;ENSMUSG00000057715;ENSMUSG00000057715;ENSMUSG00000103561","0;0;0;0;3597"
"13","1",12657494,12657733,240,"*","12_9D_Mut_R2_macs2_peak_13",99,".",7.44659,13.6625,9.97479,143,"Promoter (1-2kb)",74,12655867,12656553,687,1,"ENSMUSG00000098163","ENSMUST00000182390",1627,NA,NA,NA,"ENSMUST00000182390","ENSMUSG00000098163","1627"
"14","1",13338125,13338900,776,"*","12_9D_Mut_R2_macs2_peak_14",68,".",6.20549,10.4204,6.86577,254,"Intron (ENSMUST00000081713/ENSMUSG00000005886, intron 1 of 21)",74,13334498,13334609,112,2,"ENSMUSG00000087782","ENSMUST00000157157",-3516,"115487625","Gm23169","predicted gene, 23169","ENSMUST00000081713;ENSMUST00000068304;ENSMUST00000006037;ENSMUST00000147927;ENSMUST00000143603;ENSMUST00000139970;ENSMUST00000124088;ENSMUST00000157157;ENSMUST00000195506","ENSMUSG00000005886;ENSMUSG00000005886;ENSMUSG00000005886;ENSMUSG00000005886;ENSMUSG00000005886;ENSMUSG00000005886;ENSMUSG00000005886;ENSMUSG00000087782;ENSMUSG00000103085","0;0;0;0;0;0;0;-3516;9304"
"15","1",13372461,13372768,308,"*","12_9D_Mut_R2_macs2_peak_15",75,".",6.16244,11.1024,7.52947,54,"Promoter (<=1kb)",74,13139105,13372439,233335,2,"ENSMUSG00000005886","ENSMUST00000081713",-22,"17978","Ncoa2","nuclear receptor coactivator 2","ENSMUST00000081713;ENSMUST00000068304;ENSMUST00000006037;ENSMUST00000147927;ENSMUST00000143603;ENSMUST00000139970;ENSMUST00000124088;ENSMUST00000185813","ENSMUSG00000005886;ENSMUSG00000005886;ENSMUSG00000005886;ENSMUSG00000005886;ENSMUSG00000005886;ENSMUSG00000005886;ENSMUSG00000005886;ENSMUSG00000101476","0;0;0;0;0;0;0;-3302"
"16","1",15743032,15743162,131,"*","12_9D_Mut_R2_macs2_peak_16",23,".",4.13699,5.60175,2.32456,74,"Distal Intergenic",74,15757832,15757963,132,1,"ENSMUSG00000077377","ENSMUST00000104189",-14670,"115485792","Gm25168","predicted gene, 25168",NA,NA,NA
"17","1",16070768,16074155,3388,"*","12_9D_Mut_R2_macs2_peak_17",305,".",12.6669,34.7938,30.5988,1922,"Intron (ENSMUST00000115367/ENSMUSG00000067795, intron 2 of 3)",74,16065979,16081212,15234,2,"ENSMUSG00000067795","ENSMUST00000115367",7057,"75799","4930444P10Rik","RIKEN cDNA 4930444P10 gene","ENSMUST00000115367;ENSMUST00000145070;ENSMUST00000151004","ENSMUSG00000067795;ENSMUSG00000067795;ENSMUSG00000067795","0;0;0"
"18","1",16342898,16343110,213,"*","12_9D_Mut_R2_macs2_peak_18",133,".",8.68769,17.1148,13.3049,90,"Intron (ENSMUST00000162751/ENSMUSG00000025920, intron 12 of 13)",74,16344198,16375395,31198,2,"ENSMUSG00000025920","ENSMUST00000115360",32285,"29819","Stau2","staufen double-stranded RNA binding protein 2","ENSMUST00000162751;ENSMUST00000054668;ENSMUST00000162627;ENSMUST00000027052;ENSMUST00000162435;ENSMUST00000159558;ENSMUST00000128957;ENSMUST00000131257;ENSMUST00000115360;ENSMUST00000162007;ENSMUST00000127420;ENSMUST00000149320","ENSMUSG00000025920;ENSMUSG00000025920;ENSMUSG00000025920;ENSMUSG00000025920;ENSMUSG00000025920;ENSMUSG00000025920;ENSMUSG00000025920;ENSMUSG00000025920;ENSMUSG00000025920;ENSMUSG00000025920;ENSMUSG00000025920;ENSMUSG00000025920","0;0;0;0;0;176101;176137;176957;32285;176130;176143;176197"
"19","1",16710600,16710832,233,"*","12_9D_Mut_R2_macs2_peak_19",34,".",4.59401,6.83487,3.48122,115,"Distal Intergenic",74,16688508,16709537,21030,1,"ENSMUSG00000025779","ENSMUST00000190366",22092,"17087","Ly96","lymphocyte antigen 96","ENSMUST00000026881;ENSMUST00000190366","ENSMUSG00000025779;ENSMUSG00000025779","22167;22092"
"20","1",21632766,21632983,218,"*","12_9D_Mut_R2_macs2_peak_20",168,".",9.92878,20.7484,16.8256,66,"Intron (ENSMUST00000029667/ENSMUSG00000028033, intron 1 of 13)",74,21511933,21513056,1124,2,"ENSMUSG00000082935","ENSMUST00000119064",-119710,"665489","Gm7658","eukaryotic translation initiation factor 3, subunit M pseudogene","ENSMUST00000029667;ENSMUST00000115300;ENSMUST00000173058;ENSMUST00000173404;ENSMUST00000174183;ENSMUST00000115299;ENSMUST00000134505","ENSMUSG00000028033;ENSMUSG00000028033;ENSMUSG00000028033;ENSMUSG00000028033;ENSMUSG00000028033;ENSMUSG00000028033;ENSMUSG00000028033","0;0;0;0;0;0;0"
"21","1",23556704,23556952,249,"*","12_9D_Mut_R2_macs2_peak_21",31,".",4.55069,6.49685,3.15151,93,"Distal Intergenic",74,23574587,23596664,22078,1,"ENSMUSG00000099503","ENSMUST00000191140",-17635,"105243890","Gm28822","predicted gene 28822",NA,NA,NA
"22","1",24088937,24089608,672,"*","12_9D_Mut_R2_macs2_peak_22",40,".",4.96439,7.42892,4.0268,412,"Promoter (2-3kb)",74,24011093,24086526,75434,2,"ENSMUSG00000026153","ENSMUST00000188712",-2411,"68187","Fam135a","family with sequence similarity 135, member A","ENSMUST00000188712;ENSMUST00000187752;ENSMUST00000187369;ENSMUST00000027337;ENSMUST00000186999;ENSMUST00000185525","ENSMUSG00000026153;ENSMUSG00000026153;ENSMUSG00000026153;ENSMUSG00000026153;ENSMUSG00000026153;ENSMUSG00000026153","-2411;0;0;0;0;0"
"23","1",24331433,24331752,320,"*","12_9D_Mut_R2_macs2_peak_23",68,".",6.20549,10.4204,6.86577,210,"Intron (ENSMUST00000144297/ENSMUSG00000026141, intron 8 of 39)",74,24229517,24230955,1439,1,"ENSMUSG00000026147","ENSMUST00000147902",101916,"12839","Col9a1","collagen, type IX, alpha 1","ENSMUST00000144297;ENSMUST00000115244;ENSMUST00000051344","ENSMUSG00000026141;ENSMUSG00000026141;ENSMUSG00000026141","0;0;0"
"24","1",24611616,24612681,1066,"*","12_9D_Mut_R2_macs2_peak_24",420,".",2.28696,46.346,42.0748,868,"Promoter (<=1kb)",74,24611535,24612410,876,2,"ENSMUSG00000100131","ENSMUST00000187714",0,NA,NA,NA,"ENSMUST00000088336;ENSMUST00000187714;ENSMUST00000189941;ENSMUST00000190277;ENSMUST00000187117;ENSMUST00000188299;ENSMUST00000188231","ENSMUSG00000067736;ENSMUSG00000100131;ENSMUSG00000100862;ENSMUSG00000101111;ENSMUSG00000101249;ENSMUSG00000101939;ENSMUSG00000102070","0;0;0;0;0;0;0"
"25","1",24612810,24613052,243,"*","12_9D_Mut_R2_macs2_peak_25",298,".",2.07354,34.0111,29.8232,85,"Promoter (<=1kb)",74,24612775,24613119,345,2,"ENSMUSG00000101939","ENSMUST00000188299",67,NA,NA,NA,"ENSMUST00000088336;ENSMUST00000187714;ENSMUST00000189941;ENSMUST00000190277;ENSMUST00000187117;ENSMUST00000188299;ENSMUST00000188231","ENSMUSG00000067736;ENSMUSG00000100131;ENSMUSG00000100862;ENSMUSG00000101111;ENSMUSG00000101249;ENSMUSG00000101939;ENSMUSG00000102070","0;0;0;0;0;0;0"
"26","1",24613184,24616139,2956,"*","12_9D_Mut_R2_macs2_peak_26",853,".",2.90258,89.6684,85.3045,2335,"Promoter (<=1kb)",74,24613974,24614651,678,2,"ENSMUSG00000100862","ENSMUST00000189941",0,"100503946","Gm10925","ATP synthase F0 subunit 6 pseudogene","ENSMUST00000088336;ENSMUST00000187714;ENSMUST00000189941;ENSMUST00000190277;ENSMUST00000187117;ENSMUST00000188299;ENSMUST00000188231","ENSMUSG00000067736;ENSMUSG00000100131;ENSMUSG00000100862;ENSMUSG00000101111;ENSMUSG00000101249;ENSMUSG00000101939;ENSMUSG00000102070","0;0;0;0;0;0;0"
"27","1",24678470,24678628,159,"*","12_9D_Mut_R2_macs2_peak_27",31,".",4.55069,6.49685,3.15151,108,"Promoter (<=1kb)",74,24678630,24765448,86819,1,"ENSMUSG00000073725","ENSMUST00000191471",-2,"68421","Lmbrd1","LMBR1 domain containing 1","ENSMUST00000191471;ENSMUST00000186096;ENSMUST00000186190;ENSMUST00000095062","ENSMUSG00000073725;ENSMUSG00000073725;ENSMUSG00000073725;ENSMUSG00000073725","0;0;0;0"
"28","1",24684059,24684265,207,"*","12_9D_Mut_R2_macs2_peak_28",276,".",13.21,31.7768,27.6163,104,"Intron (ENSMUST00000191471/ENSMUSG00000073725, intron 1 of 15)",74,24678926,24766301,87376,1,"ENSMUSG00000073725","ENSMUST00000095062",5133,"68421","Lmbrd1","LMBR1 domain containing 1","ENSMUST00000191471;ENSMUST00000186096;ENSMUST00000186190;ENSMUST00000095062","ENSMUSG00000073725;ENSMUSG00000073725;ENSMUSG00000073725;ENSMUSG00000073725","0;0;0;0"
"29","1",30042428,30043088,661,"*","12_9D_Mut_R2_macs2_peak_29",49,".",5.37809,8.39511,4.93852,620,"Distal Intergenic",74,29985934,29986043,110,1,"ENSMUSG00000096829","ENSMUST00000178702",56494,NA,NA,NA,NA,NA,NA
"30","1",31958286,31964439,6154,"*","12_9D_Mut_R2_macs2_peak_30",144,".",9.10138,18.3071,14.4579,1377,"Distal Intergenic",74,32172714,32658568,485855,1,"ENSMUSG00000026058","ENSMUST00000027226",-208275,"170771","Khdrbs2","KH domain containing, RNA binding, signal transduction associated 2",NA,NA,NA
"31","1",31965128,31965260,133,"*","12_9D_Mut_R2_macs2_peak_31",23,".",4.13699,5.60175,2.32456,38,"Distal Intergenic",74,32172714,32658568,485855,1,"ENSMUSG00000026058","ENSMUST00000027226",-207454,"170771","Khdrbs2","KH domain containing, RNA binding, signal transduction associated 2",NA,NA,NA
"32","1",33407906,33408775,870,"*","12_9D_Mut_R2_macs2_peak_32",89,".",7.03289,12.5567,8.91113,590,"Distal Intergenic",74,33422733,33422838,106,1,"ENSMUSG00000065260","ENSMUST00000083326",-13958,"115487581","Gm23453","predicted gene, 23453",NA,NA,NA
"33","1",33567542,33570355,2814,"*","12_9D_Mut_R2_macs2_peak_33",231,".",11.349,27.2517,23.1614,1221,"Intron (ENSMUST00000027312/ENSMUSG00000026134, intron 7 of 13)",74,33613758,33616832,3075,2,"ENSMUSG00000102714","ENSMUST00000192891",46477,NA,NA,NA,"ENSMUST00000027312;ENSMUST00000189552","ENSMUSG00000026134;ENSMUSG00000026134","0;0"
"34","1",33570579,33570851,273,"*","12_9D_Mut_R2_macs2_peak_34",33,".",4.48224,6.6543,3.30498,11,"Intron (ENSMUST00000027312/ENSMUSG00000026134, intron 7 of 13)",74,33613758,33616832,3075,2,"ENSMUSG00000102714","ENSMUST00000192891",45981,NA,NA,NA,"ENSMUST00000027312;ENSMUST00000189552","ENSMUSG00000026134;ENSMUSG00000026134","0;0"
"35","1",36287451,36287872,422,"*","12_9D_Mut_R2_macs2_peak_35",190,".",9.97328,23.043,19.0607,309,"Distal Intergenic",74,36268861,36274679,5819,2,"ENSMUSG00000047180","ENSMUST00000188666",-12772,"214854","Neurl3","neuralized E3 ubiquitin protein ligase 3",NA,NA,NA
"36","1",36610462,36610931,470,"*","12_9D_Mut_R2_macs2_peak_36",58,".",5.55773,9.35326,5.87043,325,"Intron (ENSMUST00000170295/ENSMUSG00000046337, intron 6 of 14)",74,36601802,36602146,345,1,"ENSMUSG00000089906","ENSMUST00000161062",8660,NA,NA,NA,"ENSMUST00000170295;ENSMUST00000114981","ENSMUSG00000046337;ENSMUSG00000046337","0;0"
"37","1",36615482,36615600,119,"*","12_9D_Mut_R2_macs2_peak_37",21,".",3.9771,5.35162,2.13395,38,"Intron (ENSMUST00000170295/ENSMUSG00000046337, intron 6 of 14)",74,36601802,36602146,345,1,"ENSMUSG00000089906","ENSMUST00000161062",13680,NA,NA,NA,"ENSMUST00000170295;ENSMUST00000114981","ENSMUSG00000046337;ENSMUSG00000046337","0;0"
"38","1",36750152,36751348,1197,"*","12_9D_Mut_R2_macs2_peak_38",35,".",4.45807,6.89188,3.53678,600,"Intron (ENSMUST00000208994/ENSMUSG00000102416, intron 8 of 8)",74,36739048,36744792,5745,2,"ENSMUSG00000104237","ENSMUST00000193853",-5360,NA,NA,NA,"ENSMUST00000208994;ENSMUST00000193459","ENSMUSG00000102416;ENSMUSG00000102416","0;0"
"39","1",36751522,36751660,139,"*","12_9D_Mut_R2_macs2_peak_39",43,".",4.77434,7.71511,4.30591,98,"Intron (ENSMUST00000208994/ENSMUSG00000102416, intron 8 of 8)",74,36739048,36744792,5745,2,"ENSMUSG00000104237","ENSMUST00000193853",-6730,NA,NA,NA,"ENSMUST00000208994;ENSMUST00000193459","ENSMUSG00000102416;ENSMUSG00000102416","0;0"
"40","1",36802852,36802974,123,"*","12_9D_Mut_R2_macs2_peak_40",22,".",4.02929,5.43334,2.21236,71,"Intron (ENSMUST00000027290/ENSMUSG00000026116, intron 32 of 40)",74,36808539,36810536,1998,2,"ENSMUSG00000026116","ENSMUST00000187917",7562,"56030","Tmem131","transmembrane protein 131","ENSMUST00000027290;ENSMUST00000194563;ENSMUST00000191381","ENSMUSG00000026116;ENSMUSG00000026116;ENSMUSG00000026116","0;0;0"
"41","1",37604283,37604738,456,"*","12_9D_Mut_R2_macs2_peak_41",28,".",4.3281,6.14414,2.85034,134,"Distal Intergenic",74,37614259,37615372,1114,1,"ENSMUSG00000089767","ENSMUST00000160659",-9521,NA,NA,NA,NA,NA,NA
"42","1",38809206,38809803,598,"*","12_9D_Mut_R2_macs2_peak_42",31,".",4.55069,6.49685,3.15151,373,"Intron (ENSMUST00000147695/ENSMUSG00000048814, intron 7 of 11)",74,38794509,38821215,26707,2,"ENSMUSG00000048814","ENSMUST00000039612",11412,"381338","Lonrf2","LON peptidase N-terminal domain and ring finger 2","ENSMUST00000147695;ENSMUST00000039612","ENSMUSG00000048814;ENSMUSG00000048814","0;0"
"43","1",39755811,39756485,675,"*","12_9D_Mut_R2_macs2_peak_43",64,".",5.73227,10.0001,6.47767,554,"Distal Intergenic",74,39665301,39720997,55697,2,"ENSMUSG00000057173","ENSMUST00000151913",-34814,"619289","Rfx8","regulatory factor X 8",NA,NA,NA
"44","1",40047099,40048557,1459,"*","12_9D_Mut_R2_macs2_peak_44",49,".",5.37809,8.39511,4.93852,525,"Promoter (1-2kb)",74,40049039,40050368,1330,2,"ENSMUSG00000102985","ENSMUST00000193054",1811,NA,NA,NA,"ENSMUST00000193054","ENSMUSG00000102985","1811"
"45","1",40553139,40553644,506,"*","12_9D_Mut_R2_macs2_peak_45",23,".",4.13699,5.60175,2.32456,395,"Distal Intergenic",74,40541692,40547903,6212,1,"ENSMUSG00000026068","ENSMUST00000160468",11447,"16174","Il18rap","interleukin 18 receptor accessory protein","ENSMUST00000027237","ENSMUSG00000026068","37777"
"46","1",40553833,40554151,319,"*","12_9D_Mut_R2_macs2_peak_46",40,".",4.96439,7.42892,4.0268,176,"Distal Intergenic",74,40541692,40547903,6212,1,"ENSMUSG00000026068","ENSMUST00000160468",12141,"16174","Il18rap","interleukin 18 receptor accessory protein","ENSMUST00000027237","ENSMUSG00000026068","38471"
"47","1",40554292,40554506,215,"*","12_9D_Mut_R2_macs2_peak_47",23,".",4.13699,5.60175,2.32456,165,"Distal Intergenic",74,40541692,40547903,6212,1,"ENSMUSG00000026068","ENSMUST00000160468",12600,"16174","Il18rap","interleukin 18 receptor accessory protein","ENSMUST00000027237","ENSMUSG00000026068","38930"
"48","1",43777656,43778842,1187,"*","12_9D_Mut_R2_macs2_peak_48",471,".",16.8919,51.4863,47.195,869,"Intron (ENSMUST00000126008/ENSMUSG00000057363, intron 7 of 14)",74,43785910,43787188,1279,1,"ENSMUSG00000090243","ENSMUST00000163003",-7068,NA,NA,NA,"ENSMUST00000126008;ENSMUST00000076997;ENSMUST00000139451;ENSMUST00000136179;ENSMUST00000153317;ENSMUST00000134860;ENSMUST00000136704","ENSMUSG00000057363;ENSMUSG00000057363;ENSMUSG00000057363;ENSMUSG00000057363;ENSMUSG00000057363;ENSMUSG00000057363;ENSMUSG00000057363","0;0;0;0;0;0;48920"
"49","1",44959676,44960161,486,"*","12_9D_Mut_R2_macs2_peak_49",31,".",4.55069,6.49685,3.15151,335,"Distal Intergenic",74,44924149,44924893,745,2,"ENSMUSG00000101251","ENSMUST00000188283",-34783,"100041752","Gm3496","predicted gene 3496",NA,NA,NA
"50","1",45205145,45205712,568,"*","12_9D_Mut_R2_macs2_peak_50",40,".",4.96439,7.42892,4.0268,106,"Distal Intergenic",74,45178067,45179006,940,1,"ENSMUSG00000101937","ENSMUST00000189212",27078,"383640","Gm5268","heat shock protein 1 (chaperonin) pseudogene 12",NA,NA,NA
"51","1",47629089,47630152,1064,"*","12_9D_Mut_R2_macs2_peak_51",78,".",6.61919,11.4755,7.8745,639,"Distal Intergenic",74,47605996,47606901,906,1,"ENSMUSG00000104067","ENSMUST00000194762",23093,NA,NA,NA,NA,NA,NA
"52","1",52852182,52853035,854,"*","12_9D_Mut_R2_macs2_peak_52",99,".",7.44659,13.6625,9.97479,328,"Promoter (<=1kb)",74,52851768,52860143,8376,1,"ENSMUSG00000041426","ENSMUST00000161552",414,"227095","Hibch","3-hydroxyisobutyryl-Coenzyme A hydrolase","ENSMUST00000186922;ENSMUST00000159352;ENSMUST00000161125;ENSMUST00000044478;ENSMUST00000161552","ENSMUSG00000041426;ENSMUSG00000041426;ENSMUSG00000041426;ENSMUSG00000041426;ENSMUSG00000041426","7253;0;0;0;0"
"53","1",54820839,54821527,689,"*","12_9D_Mut_R2_macs2_peak_53",40,".",4.96439,7.42892,4.0268,457,"Intron (ENSMUST00000179030/ENSMUSG00000052331, intron 2 of 27)",74,54762368,54813443,51076,2,"ENSMUSG00000052331","ENSMUST00000178905",-7396,"329154","Ankrd44","ankyrin repeat domain 44","ENSMUST00000179030;ENSMUST00000044359;ENSMUST00000178935;ENSMUST00000180327;ENSMUST00000177679","ENSMUSG00000052331;ENSMUSG00000052331;ENSMUSG00000052331;ENSMUSG00000052331;ENSMUSG00000052331","0;0;0;0;0"
"54","1",57133662,57133840,179,"*","12_9D_Mut_R2_macs2_peak_54",23,".",4.13699,5.60175,2.32456,58,"Distal Intergenic",74,57127340,57129400,2061,1,"ENSMUSG00000099945","ENSMUST00000185283",6322,NA,NA,NA,"ENSMUST00000185283","ENSMUSG00000099945","6322"
"55","1",59400603,59401112,510,"*","12_9D_Mut_R2_macs2_peak_55",40,".",4.96439,7.42892,4.0268,309,"Distal Intergenic",74,59378930,59392299,13370,1,"ENSMUSG00000099922","ENSMUST00000187523",21673,NA,NA,NA,NA,NA,NA
"56","1",61498285,61498549,265,"*","12_9D_Mut_R2_macs2_peak_56",31,".",4.55069,6.49685,3.15151,228,"Distal Intergenic",74,61474951,61476028,1078,1,"ENSMUSG00000100965","ENSMUST00000187655",23334,NA,NA,NA,NA,NA,NA
"57","1",61498683,61498791,109,"*","12_9D_Mut_R2_macs2_peak_57",23,".",4.13699,5.60175,2.32456,23,"Distal Intergenic",74,61474951,61476028,1078,1,"ENSMUSG00000100965","ENSMUST00000187655",23732,NA,NA,NA,NA,NA,NA
"58","1",61499045,61499179,135,"*","12_9D_Mut_R2_macs2_peak_58",23,".",4.13699,5.60175,2.32456,40,"Distal Intergenic",74,61474951,61476028,1078,1,"ENSMUSG00000100965","ENSMUST00000187655",24094,NA,NA,NA,NA,NA,NA
"59","1",61514401,61514630,230,"*","12_9D_Mut_R2_macs2_peak_59",23,".",4.13699,5.60175,2.32456,112,"Distal Intergenic",74,61545882,61546163,282,1,"ENSMUSG00000102168","ENSMUST00000194422",-31252,NA,NA,NA,NA,NA,NA
"60","1",63629887,63630679,793,"*","12_9D_Mut_R2_macs2_peak_60",110,".",7.86029,14.7915,11.0627,459,"Intron (ENSMUST00000090313/ENSMUSG00000069085, intron 14 of 14)",74,63615968,63620819,4852,1,"ENSMUSG00000115378","ENSMUST00000226288",13919,"105243944","Gm39653","predicted gene, 39653","ENSMUST00000090313","ENSMUSG00000069085","0"
"61","1",63736981,63737170,190,"*","12_9D_Mut_R2_macs2_peak_61",31,".",4.55069,6.49685,3.15151,176,"Promoter (<=1kb)",74,63737714,63748057,10344,1,"ENSMUSG00000025962","ENSMUST00000131478",-544,"75619","Fastkd2","FAST kinase domains 2","ENSMUST00000027103;ENSMUST00000148758;ENSMUST00000128621;ENSMUST00000131478","ENSMUSG00000025962;ENSMUSG00000025962;ENSMUSG00000025962;ENSMUSG00000025962","0;0;0;-544"
"62","1",63886530,63886964,435,"*","12_9D_Mut_R2_macs2_peak_62",58,".",5.79179,9.39298,5.88683,318,"Distal Intergenic",74,63917848,63935932,18085,1,"ENSMUSG00000082373","ENSMUST00000120486",-30884,"102637534","Gm13754","carboxypeptidase O pseudogene",NA,NA,NA
"63","1",64121843,64121967,125,"*","12_9D_Mut_R2_macs2_peak_63",23,".",4.12862,5.58866,2.32456,6,"Promoter (<=1kb)",74,64079103,64122282,43180,2,"ENSMUSG00000025959","ENSMUST00000135075",315,"93691","Klf7","Kruppel-like factor 7 (ubiquitous)","ENSMUST00000114086;ENSMUST00000055001;ENSMUST00000135075","ENSMUSG00000025959;ENSMUSG00000025959;ENSMUSG00000025959","-352;-361;0"
"64","1",64798784,64799359,576,"*","12_9D_Mut_R2_macs2_peak_64",49,".",5.37809,8.39511,4.93852,372,"Intron (ENSMUST00000139649/ENSMUSG00000051344, intron 7 of 8)",74,64793809,64836764,42956,2,"ENSMUSG00000051344","ENSMUST00000187188",37405,"241075","Plekhm3","pleckstrin homology domain containing, family M, member 3","ENSMUST00000139649;ENSMUST00000097713;ENSMUST00000187188","ENSMUSG00000051344;ENSMUSG00000051344;ENSMUSG00000051344","0;0;0"
